YEAR,SEASON,GHID,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
2012,1,A1256,1,1025,77,107,86,24,0,3398,5861
2012,1,A1256,2,2040,77,107,99,14,0,3038,5205
2012,1,M1463,1,1035,78,108,74,18,0,3102,5422
2012,1,M1463,2,2026,78,108,84,15,0,2858,5013
2012,1,A1257,1,1003,87,117,109,24,0,2847,4806
2012,1,A1257,2,2035,84,114,113,13,0,2315,3970
2012,1,A1258,1,1039,80,110,101,10,0,3647,6269
2012,1,A1258,2,2069,80,110,112,17,0,3164,5390
2012,1,A1302,1,3087,90,120,106,14,0,2666,4531
2012,1,A1302,2,4020,90,120,110,15,0,2961,5056
2012,1,M1464,1,1022,78,108,98,22,0,2996,5185
2012,1,M1464,2,2057,78,108,104,13,0,2430,4069
2012,1,A1261,1,3039,90,120,100,14,0,2995,5154
2012,1,A1261,2,4060,89,119,103,16,0,3256,5534
2012,1,A1262,1,3088,86,116,99,15,0,3733,6272
2012,1,A1262,2,4087,85,115,89,18,0,3427,5831
2012,1,M1467,1,1070,76,106,98,9,0,3160,5346
2012,1,M1467,2,2013,78,108,100,19,0,3047,5173
2012,1,B1053,1,5074,85,115,105,14,0,3401,5932
2012,1,B1053,2,6092,83,113,106,22,0,3375,5703
2012,1,A1260,1,3011,86,116,112,20,0,3514,5898
2012,1,A1260,2,4073,85,115,108,16,0,3568,6216
2012,1,M1465,1,1017,78,108,98,12,0,2456,4212
2012,1,M1465,2,2031,79,109,116,13,0,2574,4485
2012,1,M1466,1,1067,74,104,93,11,0,,
2012,1,M1466,2,2043,74,104,100,13,0,2490,4314
2012,1,M1468,1,3064,82,112,104,11,0,3192,5468
2012,1,M1468,2,4039,83,113,109,11,0,3091,5194
2012,1,M1469,1,1011,77,107,95,23,0,3390,5933
2012,1,M1469,2,2028,77,107,105,26,0,3060,5272
2012,1,A1304,1,3075,90,120,110,19,0,3220,5498
2012,1,A1304,2,4004,84,114,109,14,0,2939,4961
2012,1,M1471,1,3042,87,117,103,12,0,2967,4962
2012,1,M1471,2,4084,86,116,99,14,0,3276,5549
2012,1,A1263,1,3026,82,112,99,11,0,3672,6277
2012,1,A1263,2,4062,81,111,98,13,0,2982,5143
2012,1,B1201,1,7149,95,125,112,14,0,2019,3475
2012,1,B1201,2,8071,95,125,91,14,0,2423,4085
2012,1,B1202,1,7073,92,122,98,21,0,4067,6873
2012,1,B1202,2,8056,92,122,104,15,0,3546,6027
2012,1,B1203,1,7119,87,117,108,9,0,2976,5093
2012,1,B1203,2,8097,89,119,101,14,0,3310,5587
2012,1,B1204,1,7075,93,123,112,23,0,2607,4441
2012,1,B1204,2,8026,96,126,110,20,0,2959,4932
2012,1,B1102,1,7010,84,114,110,21,0,2898,4909
2012,1,B1102,2,8061,84,114,93,26,0,3015,5154
2012,1,B1205,1,7104,91,121,108,16,0,3597,6114
2012,1,B1205,2,8103,94,124,110,13,0,3900,6545
2012,1,B1151,1,5032,87,117,110,14,0,3390,5716
2012,1,B1151,2,6070,92,122,114,11,0,3180,5294
2012,1,B1206,1,7035,87,117,112,14,0,3514,6190
2012,1,B1206,2,8033,86,116,96,17,0,3649,6060
2012,1,B1152,1,7141,83,113,105,18,0,2874,4996
2012,1,B1152,2,8127,85,115,109,13,0,3442,5857
2012,1,B1207,1,7078,92,122,119,12,0,3477,5835
2012,1,B1207,2,8096,90,120,115,16,0,3304,5622
2012,1,B1208,1,7021,86,116,110,22,3,2796,4720
2012,1,B1208,2,8093,87,117,97,17,0,2914,5066
2012,1,A1307,1,3052,86,116,110,15,0,3228,5474
2012,1,A1307,2,4070,86,116,107,15,0,2938,4931
2012,1,A1309,1,3092,87,117,120,15,0,3636,6222
2012,1,A1309,2,4051,87,117,110,11,0,3350,5583
2012,1,A1310,1,3050,90,120,102,15,0,3739,6203
2012,1,A1310,2,4099,87,117,115,11,0,3543,6049
2012,1,A1313,1,1037,87,117,100,22,0,2833,4848
2012,1,A1313,2,2061,87,117,108,21,0,2620,4524
2012,1,A1314,1,3029,87,117,102,13,0,2774,4704
2012,1,A1314,2,4021,84,114,117,12,0,2341,4033
2012,1,A1311,1,1061,76,106,104,14,0,2554,4410
2012,1,A1311,2,2050,75,105,108,14,0,2839,4902
2012,1,A1312,1,1058,87,117,100,20,0,3628,6138
2012,1,A1312,2,2027,85,115,110,13,9,3112,5313
2012,1,M1345,1,11029,94,124,102,18,0,2088,3601
2012,1,M1345,2,12019,94,124,90,14,0,2087,3579
2012,1,M1351,1,11022,82,112,105,25,3,2912,4915
2012,1,M1351,2,12036,78,108,110,11,3,2998,5171
2012,1,M1352,1,11031,95,125,103,11,0,,
2012,1,M1352,2,12034,94,124,117,15,0,,
2012,1,M1353,1,11037,78,108,95,14,3,3559,6090
2012,1,M1353,2,12053,80,110,100,15,0,3702,6199
2012,1,M1354,1,11005,80,110,102,13,3,2716,4685
2012,1,M1354,2,12046,80,110,100,15,5,3400,5739
2012,1,M1356,1,9035,83,113,93,11,0,3203,5481
2012,1,M1356,2,10023,78,108,102,14,0,3367,5768
2012,1,M1357,1,9018,82,112,104,16,0,2927,5049
