Genotype,height,R8,yield
DS11-02003,95.4922222222222,27.4444444444444,3411.66777777778
DS11-02005,102.426,34.5,4021.964
DS11-02006,97.462,31.1,3694.048
DS11-02007,99.801,31.4,3912.748
DS11-02014,88.7255555555556,29.7777777777778,3177.61222222222
DS11-02017,97.866,28.7,3622.694
DS11-02019,105.704444444444,30.4444444444444,3685.50111111111
DS11-02022,93.212,31.5,3786.648
DS11-02023,102.651,30.7,3928.274
DS11-02024,97.5233333333333,29.6666666666667,3526.15333333333
DS11-02025,105.258888888889,32.2222222222222,3396.86444444444
DS11-02026,105.501,33.4,3977.036
DS11-02027,102.161,34.8,3937.493
DS11-02029,97.116,28.1,3787.497
DS11-02030,98.997,25.1,3728.564
DS11-02031,92.594,29,3656.919
DS11-02032,93.953,26.7,3515.888
DS11-02033,94.812,29.6,3775.75
DS11-02035,92.7222222222222,27.2222222222222,3612.05
DS11-02036,104.089,33.7,3515.801
DS11-02037,103.658,33.4,3597.484
DS11-02038,103.815,31.2,3771.743
DS11-02040,108.334736842105,33.5789473684211,4049.22736842105
DS11-02042,90.3,27.3,3753.72
DS11-02043,98.566,30.7,3971.983
DS11-02044,102.258888888889,29.4444444444444,3886.58111111111
DS11-02047,99.5827272727273,35.6363636363636,3985.75090909091
DS11-02049,94.0254545454545,33.8181818181818,3944.97363636364
DS11-02051,100.545,36.2,4309.242
DS11-02054,111.310909090909,38.7272727272727,3659.62727272727
DS11-02057,105.546363636364,35.1818181818182,3555.23545454545
DS11-02059,102.77,30,3800.25545454545
DS11-02061,104.196363636364,36.4545454545455,3939.42363636364
DS11-02063,99.538,35.9,4184.631
DS11-02064,106.145,34,3749.598
DS11-02065,93.581,34.2,4330.715
DS11-02066,120.802727272727,33.4545454545455,4023.62
DS11-02069,97.943,35.1,4088.824
DS11-02070,110.164545454545,38.7272727272727,4201.96363636364
DS11-02071,99.4836363636364,33.9090909090909,3773.57636363636
DS11-02078,98.764,33.7,4163.178
DS11-02080,115.937272727273,39.2727272727273,4066.31181818182
DS11-02086,91.8209090909091,33.9090909090909,4105.86636363636
DS11-02089,98.643,33.3,4183.313
DS11-02091,107.353333333333,37.6666666666667,3862.03333333333
DS11-02093,120.285714285714,38.1428571428571,3957.9
DS11-02095,101.392857142857,37.4285714285714,4181.62857142857
DS11-02098,99.22,37.2857142857143,4066.68571428571
DS11-02099,98.7128571428571,35.8571428571429,3621.77142857143
DS11-02108,97.04375,30.625,4014.975
DS11-02113,90.5575,29.5,3825.5125
DS11-02115,96.4011111111111,31.7777777777778,4098.17777777778
DS11-02118,103.3525,33.375,3809
DS11-02120,100.706666666667,30.4444444444444,3942.58888888889
DS11-02121,93.3622222222222,35.3333333333333,3995.38888888889
DS11-02123,96.4111111111111,31.6666666666667,3849.17777777778
DS11-02127,87.9177777777778,28.2222222222222,3941.57777777778
DS11-02129,101.6,28.4285714285714,3625.3
DS11-02131,102.0125,27,3721.55
DS11-02132,95.71875,29,3664.4375
DS11-02133,101.99875,28.625,3981.675
DS11-02135,108.68375,32.25,4322.3
DS11-02140,104.81875,29.25,3686.7625
DS11-02141,105.4975,31.125,4166.675
DS11-02142,91.55,27.75,3467.45
DS11-02143,105.501428571429,28.4285714285714,3761.21428571429
DS11-02149,96.0277777777778,28.5555555555556,4098.14444444445
DS11-02150,108.957142857143,31,3977.3
DS11-02151,101.7175,26.875,3995.175
DS11-02152,105.012222222222,33.8888888888889,4111.46666666667
DS11-02154,98.0088888888889,32,4175.21111111111
DS11-02155,104.22,24.125,3736.1875
DS11-02156,94.7214285714286,33.4285714285714,4042.31428571429
DS11-02157,93.96,32.8333333333333,3698.73333333333
DS11-02158,93.3214285714286,32.2857142857143,3844.92857142857
DS11-02159,120.57,35.5,3418.26666666667
