GHID,YEAR,SEASON,REP,PLOTNO,FL,MAT,PLTHGT,TILLER,LDG,Plot_Yld,Kg_ha
A1256,2012,2,1,27,92,122,116,23,0,2933,4974
A1256,2012,2,2,75,90,120,120,22,0,3952,6832
A1256,2012,2,3,119,92,122,131,16,0,3929,6548
M1463,2012,2,1,1,83,113,90,9,0,3385,5766
M1463,2012,2,2,91,83,113,93,15,0,3112,5247
M1463,2012,2,3,132,82,112,97,12,0,3316,5636
A1257,2012,2,1,795,92,122,115,15,0,2904,4840
A1257,2012,2,2,848,90,120,123,24,0,3521,6046
A1257,2012,2,3,887,89,119,131,9,0,2646,4477
A1258,2012,2,1,170,88,118,130,15,0,3012,5032
A1258,2012,2,2,220,90,120,123,11,0,3283,5472
A1258,2012,2,3,299,88,118,137,14,0,3112,5343
A1302,2012,2,1,1248,94,124,115,12,0,3314,5690
A1302,2012,2,2,1284,96,126,107,13,0,3358,5805
A1302,2012,2,3,1314,96,126,124,13,0,2469,4249
M1464,2012,2,1,13,90,120,125,12,0,2104,3543
M1464,2012,2,2,61,86,116,126,11,0,2653,4447
M1464,2012,2,3,104,91,121,123,13,0,2944,4912
A1261,2012,2,1,1208,90,120,113,13,0,2781,4694
A1261,2012,2,2,1290,93,123,107,12,0,3037,5179
A1261,2012,2,3,1337,89,119,102,14,0,2886,4844
A1262,2012,2,1,763,94,124,116,14,0,3093,5269
A1262,2012,2,2,818,94,124,109,16,0,3265,5473
A1262,2012,2,3,860,94,124,115,9,0,3801,6342
M1467,2012,2,1,20,87,117,116,16,0,2884,4829
M1467,2012,2,2,69,88,118,124,16,0,2812,4687
M1467,2012,2,3,112,89,119,118,12,0,3008,5031
B1053,2012,2,1,616,93,123,125,14,0,3073,5235
B1053,2012,2,2,690,94,124,117,15,0,3229,5532
B1053,2012,2,3,707,94,124,117,12,0,2977,5083
A1260,2012,2,1,751,95,125,128,14,0,2670,4476
A1260,2012,2,2,819,93,123,122,13,0,3391,5855
A1260,2012,2,3,895,95,125,120,13,0,3191,5522
M1465,2012,2,1,195,90,120,125,11,0,2706,4589
M1465,2012,2,2,216,93,123,121,12,0,2749,4651
M1465,2012,2,3,287,93,123,126,10,0,2525,4336
M1466,2012,2,1,22,86,116,120,16,0,1694,2827
M1466,2012,2,2,78,86,116,120,11,0,1935,3236
M1466,2012,2,3,131,81,111,122,11,0,1935,3233
M1468,2012,2,1,479,90,120,111,16,0,2595,4370
M1468,2012,2,2,513,91,121,117,15,0,2685,4631
M1468,2012,2,3,591,91,121,118,22,0,3245,5591
M1469,2012,2,1,11,87,117,118,16,0,2956,4984
M1469,2012,2,2,96,91,121,115,18,0,3635,6094
M1469,2012,2,3,146,88,118,115,13,0,3107,5305
A1304,2012,2,1,941,95,125,125,15,0,3384,5771
A1304,2012,2,2,974,95,125,125,15,0,2502,4272
A1304,2012,2,3,1029,96,126,125,15,0,3275,5598
M1471,2012,2,1,943,95,125,129,11,0,3233,5558
M1471,2012,2,2,1000,97,127,127,10,0,2763,4755
M1471,2012,2,3,1036,96,126,112,10,0,3135,5340
A1263,2012,2,1,343,92,122,115,13,0,3036,5289
A1263,2012,2,2,396,97,127,116,11,0,2894,4986
A1263,2012,2,3,418,93,123,118,11,0,3045,5282
B1201,2012,2,1,1373,104,134,135,16,0,2410,4129
B1201,2012,2,2,1423,108,138,125,9,0,2566,4406
B1201,2012,2,3,1468,108,138,120,13,0,2446,4157
B1202,2012,2,1,1392,97,127,120,9,0,2764,4816
B1202,2012,2,2,1440,95,125,102,12,0,3168,5391
B1202,2012,2,3,1469,96,126,127,14,0,2553,4389
B1203,2012,2,1,1089,96,126,120,20,0,3321,5715
B1203,2012,2,2,1138,96,126,112,13,0,2850,4921
B1203,2012,2,3,1177,97,127,115,14,0,3383,5684
B1203,2012,2,1,1089,96,126,120,20,0,3321,5715
B1203,2012,2,2,1138,96,126,112,13,0,2850,4921
B1203,2012,2,3,1177,97,127,115,14,0,3383,5684
B1204,2012,2,1,1390,97,127,132,10,0,2430,4210
B1204,2012,2,2,1432,100,130,123,11,0,3179,5440
B1204,2012,2,3,1473,100,130,132,13,5,2218,3770
B1102,2012,2,1,620,92,122,118,18,0,2999,5109
B1102,2012,2,2,693,93,123,126,14,0,2906,4911
B1102,2012,2,3,742,94,124,127,10,0,2913,4878
B1205,2012,2,1,1362,95,125,127,10,0,2681,4635
B1205,2012,2,2,1422,100,130,133,13,0,3155,5387
B1205,2012,2,3,1492,100,130,128,14,0,2670,4626
B1151,2012,2,1,1235,90,120,126,9,0,3285,5615
B1151,2012,2,2,1292,94,124,120,9,0,3193,5445
B1151,2012,2,3,1325,93,123,124,11,7,2311,3879
B1206,2012,2,1,949,97,127,135,12,0,3352,5749
B1206,2012,2,2,973,97,127,133,9,0,2943,4968
B1206,2012,2,3,1020,100,130,135,13,0,2973,5111
B1152,2012,2,1,644,97,127,127,12,0,2776,4713
B1152,2012,2,2,698,97,127,119,14,0,3560,6092
B1152,2012,2,3,719,95,125,123,13,0,3162,5319
B1207,2012,2,1,1226,94,124,115,11,0,3706,6356
B1207,2012,2,2,1274,95,125,127,9,0,3110,5304
B1207,2012,2,3,1322,94,124,125,13,0,2428,4160
B1208,2012,2,1,920,94,124,124,12,0,2869,4904
B1208,2012,2,2,990,97,127,117,10,0,2446,4167
B1208,2012,2,3,1037,95,125,114,13,0,2891,5009
A1307,2012,2,1,796,90,120,120,18,0,2912,4910
A1307,2012,2,2,842,93,123,115,23,0,2939,4898
A1307,2012,2,3,868,91,121,122,18,0,2950,5105
A1309,2012,2,1,910,92,122,117,14,0,3200,5439
A1309,2012,2,2,983,94,124,123,14,9,3054,5273
A1309,2012,2,3,1015,93,123,124,16,0,3368,5927
A1310,2012,2,1,1062,94,124,118,15,0,3614,6233
A1310,2012,2,2,1113,92,122,117,16,0,2978,5050
A1310,2012,2,3,1182,93,123,114,13,7,3296,5576
A1313,2012,2,1,921,86,116,108,12,0,2148,3755
A1313,2012,2,2,975,91,121,113,12,0,2678,4531
A1313,2012,2,3,1007,90,120,102,11,0,2084,3619
A1314,2012,2,1,785,90,120,123,14,0,3217,5505
A1314,2012,2,2,826,93,123,115,17,0,3528,5887
A1314,2012,2,3,872,89,119,116,13,0,3130,5241
A1311,2012,2,1,31,82,112,122,10,0,2417,4038
A1311,2012,2,2,86,,,125,10,0,2866,4849
A1311,2012,2,3,125,81,111,132,17,0,2932,5012
A1312,2012,2,1,799,89,119,124,23,9,2459,4132
A1312,2012,2,2,829,89,119,120,12,5,2847,4811
A1312,2012,2,3,879,89,119,118,10,0,2870,4917
M1345,2012,2,1,1361,101,131,117,9,0,1893,3250
M1345,2012,2,2,1431,100,130,112,12,0,2520,4263
M1345,2012,2,3,1493,100,130,123,9,0,1493,2540
M1351,2012,2,1,312,90,120,119,15,0,3062,5115
M1351,2012,2,2,389,94,124,128,12,0,2161,3744
M1351,2012,2,3,403,94,124,131,14,0,2665,4586
M1352,2012,2,1,1369,100,130,139,12,0,2576,4378
M1352,2012,2,2,1441,97,127,117,9,0,2805,4838
M1352,2012,2,3,1481,101,131,137,11,0,3229,5607
M1353,2012,2,1,194,91,121,130,9,0,3103,5334
M1353,2012,2,2,235,94,124,132,12,5,3197,5390
M1353,2012,2,3,251,94,124,124,13,0,3479,5893
M1354,2012,2,1,303,92,122,134,13,7,3190,5366
M1354,2012,2,2,365,88,118,126,16,0,2755,4747
M1354,2012,2,3,410,93,123,128,15,0,2578,4487
M1356,2012,2,1,328,94,124,126,11,0,2810,4852
M1356,2012,2,2,352,93,123,134,17,0,2899,5000
M1356,2012,2,3,439,93,123,132,7,3,2645,4444
M1357,2012,2,1,643,93,123,127,10,0,3384,5725
M1357,2012,2,2,655,91,121,112,11,0,3261,5479
M1357,2012,2,3,724,94,124,120,13,0,3457,5809
M1358,2012,2,1,1363,95,125,134,12,0,2344,4111
M1358,2012,2,2,1435,95,125,116,11,0,2409,4211
M1358,2012,2,3,1471,97,127,113,10,0,2920,5002
M1359,2012,2,1,789,93,123,121,22,9,2446,4077
M1359,2012,2,2,820,94,124,130,12,0,2393,4109
M1359,2012,2,3,858,94,124,139,10,0,2423,4038
M1360,2012,2,1,458,94,124,122,10,0,2871,4996
M1360,2012,2,2,543,94,124,112,12,0,2696,4645
M1360,2012,2,3,582,94,124,112,12,0,3417,5867
M1361,2012,2,1,335,96,126,127,17,0,2791,4684
M1361,2012,2,2,395,97,127,122,20,0,3174,5425
M1361,2012,2,3,433,95,125,123,12,0,2598,4431
B1209,2012,2,1,1082,97,127,116,15,0,2971,4963
B1209,2012,2,2,1134,89,119,133,15,7,2185,3722
B1209,2012,2,3,1160,96,126,127,18,5,2633,4434
B1210,2012,2,1,1099,94,124,125,19,0,2929,4984
B1210,2012,2,2,1105,90,120,114,13,0,2924,4970
